idx,class,conversation
0,일반 대화,"이번에 캘리포니아에 산불 난 거 보셨어요?
네 봤어요 ㅜㅜ 일주일 넘게 진압하고 있다는데 걱정이네요...
저도 봤어요! 거기 세계에서 가장 큰 나무 있는 곳이라던데...
아 제너럴 셔먼은 지금 방화담요로 둘둘 말아놨다고 하더라고요
아이고... 2000~3000년 정도는 된 나무들인데 제발 빨리 진압이 되었으면 좋겠어요
근데 어쩌다가 그렇게 큰 산불이 난 거에요?
기사에 나온 거 보면 세쿼이아 국립공원 일대에 130회가 넘는 벼락이 떨어졌는데 그 벼락에서 시작된 불이 바람타고 사방으로 번졌다고 하더라고요?
장난 아니죠 ? ㅠ
맞아요, 거기다 두 건의 화재가 추가로 발생해서 추가 피해도 대비하고 있대요
미국 대형 산불이 거의 연례 행사처럼 되어 버렸네요 ㅜㅜ
그러게요 또 점점 산불 규모도 커지고 있어요...
이게 다 폭염과 가뭄 등 이상기후 때문인데...
책에서 봤는데 평균 온도가 1도 올라갈 때마다 산불이 일어날 확률도 35퍼센트나 증가한다고 하더라고요
결국 또 지구온난화 문제네요...
진짜 체감이 돼요 요새는
산불 이야기하니까 칠레 산불도 기억이 나네요
휴... 그때도 장난 아니었죠
맞아요 그때 막 뉴스에서 나오기를 서울시 7배가 넘는 면적이 불에 붙었다고 했잖아요
피해 이재민도 7000명이 넘었으니까 ㅠㅠ
맞아요 그때 국가비상도 걸리고...
그래도 이 산불하면 가장 떠오르는 건 따로 있는 것 같아요
아 키키 보더콜리 세 자매 맞죠?
하하 잿더미가 된 산의 영웅들이었잖아요
하하 그 아이들 덕분에 삼림이 빠르게 복구 될 수 있었잖아요 똑띠들
맞아요 키키 한 마리당 열 사람의 몫을 했다죠?
그걸 생각해내신 견주분도 대단하세요"
1,일반 대화,"얼마 전에 동네 피부 미용샵에 다녀왔어요! 여기 좋더라고요!
동네에 그런 곳이 있어요?
아 그 사거리에 있는 거 맞죠?
네 맞아요! 확실히 개인 미용샵이다 보니까 사람도 별로 없고 피부랑 눈썹이랑 정말 꼼꼼히 봐주셨어요
요새 피부 관리를 정말 못했는데 저도 한 번 가봐야겠어요
오오 눈썹! 전 화장할 때 눈썹을 제일 중요하게 여기는데 원래 제 눈썹을 관리하기가 힘들더라고요
음~ 그럼 거기 가보세요!
눈썹 문신도 하시더라고요
정말 한 번 가볼게요! 알려줘서 감사해요 하하
아 혹시 쌍커풀 수술 하신 분 계세요?
저는 자연이요!
왜요 왜요 관심 있어요?
오~ 쌍커풀 수술 하고 싶어요?
하하 그건 아니고, 제가 속눈썹이 말려서 자라서 안과 선생님께서 권하시더라고요
아~ 속눈썹 말려 자라는 분 꽤 있더라고요
오오 그럼 수술하는 거에요?
사실 전 아직 생각 없어요 키키
속쌍커풀이 있어서 살 빼면 겉쌍커풀 생길 수 있다고 엄마도 반대하셨어요
그래요! 사실 다이어트가 최고의 성형이라잖아요
아! 제 친구가 이번에 필러를 맞았는데 조금 부자연스럽더라고요
저희 엄마도 한 번쯤은 보톡스나 필러 맞아보고 싶다고 하셨는데...
저도 후기 많이 들었는데 초반에는 부자연스러워도 점점 붓기 빠지면 만족스러워 하던데요
그래서 한 번 맞으면 계속 맞게 된다고 하나봐요
키키 그런가 봐요!
나중에 돈 많이 벌면 과도하지 않은 선에서 몇 번 맞춰드릴까 생각 중이에요
하하 좋은 생각이에요!
요새 이런 건 흔한 시술이니까!
맞아요! 젊은 친구들도 정말 많이 하더라고요
음 그런 것 같아요!
제 친구들 중에서도 필러 맞은 친구들이 꽤 있거든요"
2,일반 대화,"코로나 터지고 건강에 더 주의를 기울이게 된 것 같아요
인정이요. 위생에도 더 철저해 졌어요
저는 생전 먹지도 않는 비타민이며 영양제까지 챙겨 먹었어요 키키
그래도 우리는 백신 맞아서 조금은 안심이 돼요
맞아요! 전 아직 1차까지만 맞았지만 그래도 뭔가 든든해요
근데 참 백신 후유증이 사람마다 많이 다르더라구요
네네. 그래서 처음에는 맞을까 말까 고민이 많이 했어요
인터넷에서 고열로 고생하던 사람도 있었고 기저질환으로 돌아가신 분도 꽤 나와서 저도 너무 무서웠어요
그래서 전 1차도 2차도 아무 느낌도 부작용도 없어서 의아했어요
마음의 준비를 정말 단단히 하고 있었거든요
저는 1차 맞고 두통이 좀 있어서 2차보다 힘들었던 것 같아요
두 분이 아무 문제 없으셨다니 조금 마음이 놓여요
근데 사실 전 아무 부작용이 없었다는게 마음이 놓이지는 않아요
왜요왜요? 무사히 잘 넘어간 거면 좋은거죠!
어떤 것 때매 그렇게 생각해요?
의사선생님이 백신 맞고 신체 면역 반응 때문에 조금 아플 수도 있다고 하셨는데 전 백신과 싸울 면역이 없었던 건가 싶어요 ㅜㅜ
접종 맞은 부위가 붓고 조금 뻐근했다면서요!
그것도 일종의 부작용이죠
맞아요, 저도 이것 저것 찾아봤었는데 그런 사소한 신체 반응도 면역 체계가 제대로 일하고 있다는 증거라고 했어요
그런 거에요? 다행이에요 ㅜㅜ
전 제가 면역력이 바닥인 줄 알고 조금 당황스러웠거든요
에이 젊은데 벌써부터 그러면 안 되죠 키키
맞아요 키키 돌도 씹어 먹을 나이라구요
허헣 제가 은근 허약이라서요...
그럼 이제부터라도 열심히 운동도 하고 건강도 챙겨봅시다!
맞아요 젊을 때부터 건강 챙기면 좋죠
네! 정말 그래야겠어요 하하"
3,일반 대화,"요즘 택배가 참 편하긴 한 것 같아요
맞아요, 옛날엔 몰랐는데 새벽 배송에 로켓 배송까지...
그래서 전 뭐든 대부분 전자상거래로 사는 것 같아요
전 쇼핑몰 가본 지가... 엄청 오래되었어요
저도요! 가격도 더 저렴하고요
그것도 그런데 거래한 사람의 후기를 볼 수 있는 게 가장 좋아요
음 그것도 그렇긴 해요
근데 전 개인적으로 거래량이 많을수록 리뷰도 종 잡을 수가 없어요
하긴... 좋다는 사람은 엄청 좋다 그러고 별로였단 사람은 또 반대니까...
그래도 한 눈에 가격 비교도 가능하고 오프라인에 없는 것도 온라인에는 대부분 다 있어서 결국 온라인으로 사게 돼요
그래도 저는 옷은 쇼핑몰 가서 입어 보고 사는게 더 편해요
저희 엄마도 그러세요.
인터넷으로 사면 실패하는 경우가 종종 있어서 그런 것 같아요
전 전자상거래로는 식재료  많이 사는 것 같아요
오오 전 식재료는 상할까봐 불안해서 안 시켜봤는데... 어때요?
저도 물이나 이런 건 시켜도 고기나 생선 야채들은 불안해서...
아이스팩에 잘 포장되어 오더라고요!
요즘 정말 잘 나와있어요
오호라... 그렇구나 다음에 저도 식재료 주문해봐야겠어요
어제 서점에 갔다가 정말 마음에 드는 책을 발견해서 사왔는데 오늘 인터넷이랑 비교하니까 가격 차이가 나서 아까워요
아이고... 그래서 전 서점 가서 훑어보다 마음에 들면 인터넷이랑  가격 비교해서 상황에 따라 구매해요
전 주로 ebook을 많이 보는데 그게 훨씬 싸요!
전 사실 아날로그가 좋아요 하하
그래서 종이책을 더 선호해요
전 책 냄새 맡는 걸 좋아해서 저도 종이책이 더 좋아요
저희 엄마도 분위기 있는 종이책을 더 선호하시기는 하더라고요"
4,일반 대화,"다들 TV프로그램 뭐 보세요?
요즘 볼게 없어요
전 슬기로운 의사생활 재밌게 봤어요
아아! 뭔지 알아요! 전 거기서 조정석 연기가 너무 재밌더라고요
오 저도 한번 봐볼게요
내용도 재밌으니까 꼭 봐보세요
전 주로 TV로는 예능 자주 봐요
앗 저도 나영석 PD 예능은 즐겨봐요
근데 요새는 정말 시즌별 예능이 많은 것 같아요
맞아요 그래서 런닝맨처럼 시즌 없이 쭉 장수하는 프로그램이 정말 대단한 것 같아요
전 예능은 무조건 무한도전이었는데 그때가 그리워요 ㅠㅠ
전 사실 무한도전처럼 개그맨들만이 온전히 나오는 프로그램이 많이 없어지고 있다는게 안타까워요
음 맞아요 꽁트 무대도 없어지고...
그래도 다양한 연예인들을 예능에서 볼 수 있는 건 좋더라고요
맞아요 요즘은 센스있고 유머감각 있는 배우나 가수가 많아서 예능에서 많이 볼 수 있는 것 같아요
아 저는 삼시세끼에서 유해진이 정말 재밌어요 키키
저는 차승원도 웃겨요 키키
맞아요 키키 둘 케미가 너무 좋아요 키키
전 신서유기도 재밌게 봤어요
오오 저도요! 전 개그맨이 아닌 사람이 이렇게까지 웃길 수 있구나 느꼈어요 키키
맞아요 키키 전 거기 나온 가수 출신 4명이 그렇게 웃겨요
와 그러고보니 그 프로에서도 정석 개그맨은 두 명밖에 없네요
요즘 연예인들은 정말 다 잘해야 되나 봐요...
전에는 어느 한 가지만 잘 해도 됐었는데 요즘 데뷔하는 연예인들 보니까 다 잘 해야겠더라고요
특히 아이돌은 더 그런 것 같아요
음 맞아요 어떻게 보면 정말 어린 나이인데 대단해요"
5,일반 대화,"다들 기생충 보셨어요?
오스카 상 후보에 올랐단 소식 듣고 바로 봤어요
저는 개인적으로 다크한 걸 안 좋아해서 아직 못 봤어요
음...그럴 수 있죠!
봉준호 감독이 차기작을 준비하고 있다고 해서 한 번 그냥 물어봤어요 하하
오오 차기작이요? 기대되는 걸요?
정말요? 어떤 내용이래요?
사실 기생충 이전부터 준비하던 시나리오인데 애니메이션으로 제작될 예정이래요
헉 정말 애니메이션이래요?
와우... 애니메이션이라니... 조금 놀랍네요
그쵸? 자신이 디스크가 있는 줄 아는 무척추 심해어와 해양생물 관련한 시나리오를 이미 완성했다고 하더라고요
기생충 이후로 2년만인가요...
애니메이션이면 개봉하면 저도 꼭 봐야겠어요!
이게 또 순수 한국 프로젝트로 제작되는 거라고 하더라고요
오오 국뽕이 차오르는걸요?!
그러게요! 이제 그 감독님 작품은 세계 곧곧에서 조명을 받을텐데 순수 한국 프로젝트라니...
지난해부터 친분이 있는 한 배우한테 연기를 부탁했다고 하는데 누굴지 정말 너무 궁금해요
그러게요! 근데 애니메이션인데 배우가 필요하다니...
성우를 부탁한 걸까요?
아니면 실사와 애니메이션을 섞은 걸 수도 있겠네요!
사실 뭐가 되었든 파격적인 결정이라고 생각해요
저도 그렇게 생각해요
다방면으로 도전하는 모습이 참 멋지신 것 같아요
개봉하려면 최소 3~4년 정도는 걸릴테지만 개봉하면 같이 보러 가실래요?
너무 너무 좋아요!
그때 쯤이면 극장도 편하게 갈 수 있겠죠?
하하 네 좋아요! 벌써 기대되네요!"
6,일반 대화,"오빠야 저녁 식사는 뭐야?
나는 아직 뭐 먹을지 모르겠네 니는?
난 일단 지금 라면 먹고 있는데 저녁 모르겠어 키키
키키 오 지금 라면을 먹음 저녁 먹을 수 있나
모르겠어 키키 이제 일어나서 키키
어? 이제 일어났다고? 키키 어?
키키 아까 잠깐 깼다가 또 잤다 키키
우와... 대단하다 언제 잤길래
새벽 5시? 키키 많이 잔 것도 아님 키키
그렇게 따지고 보면 그렇네? 키키
글치? 키키 이제 추석 연휴니까 더 잘 테야
아니 니는 어차피 계속 쉬는 날 아니야?
키키 맞아 그것도 그래 키키
추석 지나면 공부해야지
키키 무슨 공부할 껀데 진짜 하긴 하나
키키 말은 계속 공부하고 있다 키키
키키 말만 하지 말고 빨리 해라"
7,일반 대화,"오빠야는 부동산에 관심 좀 있나 키키
나는 없다 키키 너무 어렵던데
나도 키키 아니 뭐 종잣돈이 있어야 하지 키키
그것도 맞다 진짜 부동산도 돈 있는 놈들이 하는 거지
그러니까 돈 따먹기다 ㅜㅜ
이렇게 더 빈부격차는 심해지죠
그렇지 진짜 빈부격차가 이렇게 발생하지
휴 정말 이제는 하고 싶어도 이미 다 장악했다 돈 많은 사람들이
맞아 사기도 힘든 것 같더만
진짜 대출 받아도 그까지 대출이 안 돼
그치... 진짜 한계가 있으니깐
옹 뭐 8, 90% 대출해준다고 해도 키키 나머지 10%가 나한테 없어
키키 맞다 10% 진짜 어디서 가지고 올 껀데
진짜 계약금도 없고 키키 하 정말 팍팍하네 키키
팍팍하다 팍팍해 키키 진짜 언제 부자 되노
키키 오빠야 부자 되면 나 조금만 떼어줘 키키
키키 일단 되기나 해볼게... 언제 될지"
8,일반 대화,"오빠야는 차 뭐 사고 싶어 키키
나는 그래도 승용차 사고 싶음
오 승용차 요새 다들 SUV 원하던데
키키 **가 suv 사 고싶다 했으니 suv는 뭐...
키키 승차감은 또 승용차가 낫긴 하지
키키 맞아 키키 우리 아빠 차도 suv라서 난 승용차 갖고 싶다
그것도 좋지 키키 언제 살 거야 태워줘
키키 아니 일단 취업부터 해야지
그건 맞다 키키 돈 벌고 사야지
그래 돈이 있어야 차도 사고 집도 사는데
그러니까 키키 일단 취업부터 생각해야겠네
그렇지 니는 뭐 어디로 할라고
나는 지금 아무 생각도 없다 키키
키키 그래 일어난 지 얼마 되지도 않았는데
옹 라면도 입으로 들어가는지 코로 들어가는지 모르겠다 키키
키키 대단하네 키키 라면은 무슨 라면인데"
9,일반 대화,"직장생활이 맞을 것 같아 아니면 혼자 일하는 게 나을 것 같아 키키
나는 직장생활이 나쁘지 않더라고
오 단체 생활하는 거 괜찮은가 봐용 키키
어어 뭐 근데 혼자 하면 혼자도 괜찮지 않을까? 키키
키키 맞아 그래도 난 심심해서 단체가 좋긴 함
키키 제대로 된 사회생활을 경험한 것이 맞습니까?
키키 그럼요 나 아주 사랑 받으면서 해용 하하
키키 진짜 직장이었나요?
인턴 뭐 계약직 이게 아니라?
그냥 계약직이죠 키키 그래서 사랑을 줬나 키키
키키 계약직이라도 사랑 받았음 뭐 잘 했지
키키 다들 너무 잘해주던데 배운 사람은 이렇게 다른가 싶었옹 키키
키키 오 진짜? 그럼 다행이네
좋은 곳에서 다녔네
옹 키키 마지막 날에 막 다들 뭐 사주고
헐 오 진짜 많이 사랑 받았네
호호 난 사랑 받는 스타일 키키
키키 어떻게 하면 그렇게 사랑을 받노?"
